Reference, Value, Footprint, Datasheet, Part Number
F1,01000057Z,battery-pack:ATC_FUSE,http://www.mouser.com/ds/2/240/Littelfuse_fuse-clips-186442.pdf,01000057Z
P1,CONN_01X02,battery-pack:TerminalBlock-ESPM02200,http://www.mouser.com/ds/2/18/200912210387880-199.pdf,ESPM02200
U3,18650-PC8,battery-pack:BK-18650-PC8,,BK-18650-PC8
D11,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D15,LED,LEDs:LED_0805,,LS Q976-NR-1
D7,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D3,LED,LEDs:LED_0805,,LS Q976-NR-1
D23,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D19,LED,LEDs:LED_0805,,LS Q976-NR-1
D27,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D31,LED,LEDs:LED_0805,,LS Q976-NR-1
U4,18650-PC8,battery-pack:BK-18650-PC8,,BK-18650-PC8
D12,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D16,LED,LEDs:LED_0805,,LS Q976-NR-1
D8,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D4,LED,LEDs:LED_0805,,LS Q976-NR-1
D24,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D20,LED,LEDs:LED_0805,,LS Q976-NR-1
D28,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D32,LED,LEDs:LED_0805,,LS Q976-NR-1
U1,18650-PC8,battery-pack:BK-18650-PC8,,BK-18650-PC8
D9,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
R13,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
D13,LED,LEDs:LED_0805,,LS Q976-NR-1
D5,ZENER,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBZ5221BLT1-D-79158.pdf,MMBZ5229BLT1G
R9,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R5,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R1,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
D1,LED,LEDs:LED_0805,,LS Q976-NR-1
D21,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D17,LED,LEDs:LED_0805,,LS Q976-NR-1
D25,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D29,LED,LEDs:LED_0805,,LS Q976-NR-1
U2,18650-PC8,battery-pack:BK-18650-PC8,,BK-18650-PC8
D10,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D14,LED,LEDs:LED_0805,,LS Q976-NR-1
D6,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D2,LED,LEDs:LED_0805,,LS Q976-NR-1
D22,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
D18,LED,LEDs:LED_0805,,LS Q976-NR-1
D26,ZENER,TO_SOT_Packages_SMD:SOT-23,,MMBZ5229BLT1G
Q14,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
D30,LED,LEDs:LED_0805,,LS Q976-NR-1
Q13,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q15,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q16,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q5,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q6,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q7,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q8,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q4,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q3,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q2,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q1,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q9,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q10,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q11,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
Q12,MMBT3904LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/MMBT3904LT1-D-113169.pdf,MMBT3904LT1G
R17,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R21,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R25,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R29,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R33,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R37,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R45,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R41,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R46,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R47,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R48,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R40,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R39,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R38,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R34,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R26,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R27,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R35,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R36,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R28,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R24,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R16,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R4,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R12,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R11,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R3,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R15,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R23,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R2,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R10,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R14,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R22,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R18,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R6,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R7,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R19,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R30,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R42,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R43,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R31,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R32,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R44,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R8,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
R20,10k,Resistors_SMD:R_0603,,ERJ-3GEYJ103V
